,name,Mw (g/mol),Mn (g/mol),PDI,Regioregularity R%,DP,SANS,SAXS/GWAXS,DLS,SLS,SEC (GPC),Dark/light,Applied Electrical Field (Kv/cm),Duration of Applied Electrical Field (min),DLS Angle (deg),Concentration (mg/ml),Temperature SANS/SLS/DLS/SEC (K),Aging time (hour),To Aging Temperature (K),Stirring /sonication/heating time(min),Sonication time (min),Sonication/Stirring/heating Temperature (K),storage temperature (K),Storage time (hour),Solvent(s),Deuterated solvent,Solid additive,Solid additive quantity (mg/ml),Solvent solubility parameter (Hansen),Polymer solubility parameter ,Polymer solubility parameter 𝛿d [MPa1/2],Polymer solubility parameter  𝛿p [MPa1/2],Polymer solubility parameter 𝛿h [MPa1/2],Rh1 (nm),I1 (Normalized 1-0),Rh2 (nm),I2 (Normalized 1-0),Rh3 (nm),I3 (Normalized 1-0),Rh4 (nm),I4 (Normalized 1-0),Rh deviation (nm) ±,Rg1 (nm),Rg2 (nm),Rg 1deviation (nm) ±,"Rcs,g (crossectional radius) (nm)","Rcs,g (crossectional radius) (nm) ±","Rt,g (radius of gyration) (nm)",Ree (chain end-to-end distance) (nm),Ree deviation (nm) ±,A2 (mol dm3/g^2),df,α1 ,q1 range (A-1),α2 ,q2 range (A-1),Lp (nm),Lp deviation (nm) ±,Lc (nm),Lc deviation (nm) ±,ξs (characteristic length scale) (nm),ξs deviation (nm) ±,ξd (mesh size of the dynamic network) (nm),ξd deviation (nm) ±,R disk (nm),R cylinder (nm),R deviation (nm) ±,R core cylinder (nm),L cylinder (nm),L deviation (nm) ±,t (thinkness) (nm),t (thinkness) (nm) ±,A parallelepiped (thickness)(nm),A deviation (nm) ±,B parallelepiped (width)(nm),B deviation (nm) ±,C parallelepiped (length)(nm),C deviation (nm) ±,Light scattering model,SANS/SAXS model,Expected Conformation,Additional notes 1,Additional notes 2,Doi
133,PF2-6,89000.0,54601.22699,1.63,,,0,0,1.0,0,1.0,,,,,,293.0,,,,,,,,Tol,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,171.0,,,,,,,,,,,,,,,,,,,,stretched exponential,,,,,https://doi.org/10.1007/s00396-004-1116-1
134,TEHIF,64000.0,46376.81159,1.38,,,0,0,1.0,0,1.0,,,,,,293.0,,,,,,,,Tol,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,106.0,,,,,,,,,,,,,,,,,,,,stretched exponential,,,,,https://doi.org/10.1007/s00396-004-1116-1
135,PLPP,241000.0,132417.5824,1.82,,,0,0,1.0,0,1.0,,,,,,293.0,,,,,,,,Tol,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,293.0,,,,,,,,,,,,,,,,,,,,stretched exponential,,,,,https://doi.org/10.1007/s00396-004-1116-1
136,MEH-PPV,1000000.0,200000.0,5.0,,,0,0,1.0,1,0.0,,,,90,9.0,333.0,0.5,333,,600,333,,,62.5:37.5 vol% CB-nC9,0.0,,,,,,,,6052.22,1.0,312.38,0.185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,randomly oriented cylinders,,number-average molecular weight 150000−250000 g/mol,"The sample solution was sonicated 10 h per day at 60 °C for 4 days and stored in a dark, auto dry box at room temperature. As shown in Figure 1, the MEH-PPV sample solution could be brought to the gel state via aging at 30 °C, and the gel structure may be largely disintegrated by heating back to 60 °C. The freshly prepared, heated solution was allowed to equilibrate for at least 2 h at 60 °C to minimize the effect of prior sonication/MEH-PPV solution during stepwise cooling from 60 to 40 °C to unveil the aggregate properties as well as their structural development toward the gel state at 30 °C",https://doi.org/10.1021/acs.jpcb.5b00575
137,MEH-PPV,1000000.0,200000.0,5.0,,,0,0,1.0,1,0.0,,,,60,9.0,333.0,0.5,333,,600,333,,,62.5:37.5 vol% CB-nC9,0.0,,,,,,,,6202.31,1.0,283.22,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,randomly oriented cylinders,,number-average molecular weight 150 000−250 000 g/mol,"The sample solution was sonicated 10 h per day at 60 °C for 4 days and stored in a dark, auto dry box at room temperature. As shown in Figure 1, the MEH-PPV sample solution could be brought to the gel state via aging at 30 °C, and the gel structure may be largely disintegrated by heating back to 60 °C. The freshly prepared, heated solution was allowed to equilibrate for at least 2 h at 60 °C to minimize the effect of prior sonication/MEH-PPV solution during stepwise cooling from 60 to 40 °C to unveil the aggregate properties as well as their structural development toward the gel state at 30 °C",https://doi.org/10.1021/acs.jpcb.5b00575
138,MEH-PPV,1000000.0,200000.0,5.0,,,0,0,1.0,1,0.0,,,,40,9.0,333.0,0.5,333,,600,333,,,62.5:37.5 vol% CB-nC9,0.0,,,,,,,,4737.31,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,randomly oriented cylinders,,number-average molecular weight 150 000−250 000 g/mol,"The sample solution was sonicated 10 h per day at 60 °C for 4 days and stored in a dark, auto dry box at room temperature. As shown in Figure 1, the MEH-PPV sample solution could be brought to the gel state via aging at 30 °C, and the gel structure may be largely disintegrated by heating back to 60 °C. The freshly prepared, heated solution was allowed to equilibrate for at least 2 h at 60 °C to minimize the effect of prior sonication/MEH-PPV solution during stepwise cooling from 60 to 40 °C to unveil the aggregate properties as well as their structural development toward the gel state at 30 °C",https://doi.org/10.1021/acs.jpcb.5b00575
139,MEH-PPV,1000000.0,200000.0,5.0,,,0,0,1.0,1,0.0,,,,30,9.0,333.0,0.5,333,,600,333,,,62.5:37.5 vol% CB-nC9,0.0,,,,,,,,3201.25,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,randomly oriented cylinders,,number-average molecular weight 150 000−250 000 g/mol,"The sample solution was sonicated 10 h per day at 60 °C for 4 days and stored in a dark, auto dry box at room temperature. As shown in Figure 1, the MEH-PPV sample solution could be brought to the gel state via aging at 30 °C, and the gel structure may be largely disintegrated by heating back to 60 °C. The freshly prepared, heated solution was allowed to equilibrate for at least 2 h at 60 °C to minimize the effect of prior sonication/MEH-PPV solution during stepwise cooling from 60 to 40 °C to unveil the aggregate properties as well as their structural development toward the gel state at 30 °C",https://doi.org/10.1021/acs.jpcb.5b00575
140,MEH-PPV,1000000.0,200000.0,5.0,,,0,0,1.0,1,0.0,,,,90,9.0,323.0,0.5,323,,600,333,,,62.5:37.5 vol% CB-nC9,0.0,,,,,,,,6170.53,1.0,572.88,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,randomly oriented cylinders,,number-average molecular weight 150 000−250 000 g/mol,"The sample solution was sonicated 10 h per day at 60 °C for 4 days and stored in a dark, auto dry box at room temperature. As shown in Figure 1, the MEH-PPV sample solution could be brought to the gel state via aging at 30 °C, and the gel structure may be largely disintegrated by heating back to 60 °C. The freshly prepared, heated solution was allowed to equilibrate for at least 2 h at 60 °C to minimize the effect of prior sonication/MEH-PPV solution during stepwise cooling from 60 to 40 °C to unveil the aggregate properties as well as their structural development toward the gel state at 30 °C",https://doi.org/10.1021/acs.jpcb.5b00575
141,MEH-PPV,1000000.0,200000.0,5.0,,,0,0,1.0,1,0.0,,,,60,9.0,323.0,0.5,323,,600,333,,,62.5:37.5 vol% CB-nC9,0.0,,,,,,,,6247.39,1.0,304.7,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,randomly oriented cylinders,,number-average molecular weight 150 000−250 000 g/mol,"The sample solution was sonicated 10 h per day at 60 °C for 4 days and stored in a dark, auto dry box at room temperature. As shown in Figure 1, the MEH-PPV sample solution could be brought to the gel state via aging at 30 °C, and the gel structure may be largely disintegrated by heating back to 60 °C. The freshly prepared, heated solution was allowed to equilibrate for at least 2 h at 60 °C to minimize the effect of prior sonication/MEH-PPV solution during stepwise cooling from 60 to 40 °C to unveil the aggregate properties as well as their structural development toward the gel state at 30 °C",https://doi.org/10.1021/acs.jpcb.5b00575
142,MEH-PPV,1000000.0,200000.0,5.0,,,0,0,1.0,1,0.0,,,,120,9.0,323.0,0.5,323,,600,333,,,62.5:37.5 vol% CB-nC9,0.0,,,,,,,,6247.39,1.0,366.87,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,randomly oriented cylinders,,number-average molecular weight 150 000−250 000 g/mol,"The sample solution was sonicated 10 h per day at 60 °C for 4 days and stored in a dark, auto dry box at room temperature. As shown in Figure 1, the MEH-PPV sample solution could be brought to the gel state via aging at 30 °C, and the gel structure may be largely disintegrated by heating back to 60 °C. The freshly prepared, heated solution was allowed to equilibrate for at least 2 h at 60 °C to minimize the effect of prior sonication/MEH-PPV solution during stepwise cooling from 60 to 40 °C to unveil the aggregate properties as well as their structural development toward the gel state at 30 °C",https://doi.org/10.1021/acs.jpcb.5b00575
143,MEH-PPV,1000000.0,200000.0,5.0,,,0,0,1.0,1,0.0,,,,30,9.0,323.0,0.5,323,,600,333,,,62.5:37.5 vol% CB-nC9,0.0,,,,,,,,6094.61,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,randomly oriented cylinders,,number-average molecular weight 150 000−250 000 g/mol,"The sample solution was sonicated 10 h per day at 60 °C for 4 days and stored in a dark, auto dry box at room temperature. As shown in Figure 1, the MEH-PPV sample solution could be brought to the gel state via aging at 30 °C, and the gel structure may be largely disintegrated by heating back to 60 °C. The freshly prepared, heated solution was allowed to equilibrate for at least 2 h at 60 °C to minimize the effect of prior sonication/MEH-PPV solution during stepwise cooling from 60 to 40 °C to unveil the aggregate properties as well as their structural development toward the gel state at 30 °C",https://doi.org/10.1021/acs.jpcb.5b00575
144,MEH-PPV,1000000.0,200000.0,5.0,,,0,0,1.0,1,0.0,,,,90,9.0,313.0,0.5,313,,600,333,,,62.5:37.5 vol% CB-nC9,0.0,,,,,,,,8439.48,1.0,304.94,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,randomly oriented cylinders,,number-average molecular weight 150 000−250 000 g/mol,"The sample solution was sonicated 10 h per day at 60 °C for 4 days and stored in a dark, auto dry box at room temperature. As shown in Figure 1, the MEH-PPV sample solution could be brought to the gel state via aging at 30 °C, and the gel structure may be largely disintegrated by heating back to 60 °C. The freshly prepared, heated solution was allowed to equilibrate for at least 2 h at 60 °C to minimize the effect of prior sonication/MEH-PPV solution during stepwise cooling from 60 to 40 °C to unveil the aggregate properties as well as their structural development toward the gel state at 30 °C",https://doi.org/10.1021/acs.jpcb.5b00575
145,MEH-PPV,1000000.0,200000.0,5.0,,,0,0,1.0,1,0.0,,,,60,9.0,313.0,0.5,313,,600,333,,,62.5:37.5 vol% CB-nC9,0.0,,,,,,,,11152.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,randomly oriented cylinders,,number-average molecular weight 150 000−250 000 g/mol,"The sample solution was sonicated 10 h per day at 60 °C for 4 days and stored in a dark, auto dry box at room temperature. As shown in Figure 1, the MEH-PPV sample solution could be brought to the gel state via aging at 30 °C, and the gel structure may be largely disintegrated by heating back to 60 °C. The freshly prepared, heated solution was allowed to equilibrate for at least 2 h at 60 °C to minimize the effect of prior sonication/MEH-PPV solution during stepwise cooling from 60 to 40 °C to unveil the aggregate properties as well as their structural development toward the gel state at 30 °C",https://doi.org/10.1021/acs.jpcb.5b00575
146,MEH-PPV,1000000.0,200000.0,5.0,,,0,0,1.0,1,0.0,,,,120,9.0,313.0,0.5,313,,600,333,,,62.5:37.5 vol% CB-nC9,0.0,,,,,,,,6233.57,1.0,117.06,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,randomly oriented cylinders,,number-average molecular weight 150 000−250 000 g/mol,"The sample solution was sonicated 10 h per day at 60 °C for 4 days and stored in a dark, auto dry box at room temperature. As shown in Figure 1, the MEH-PPV sample solution could be brought to the gel state via aging at 30 °C, and the gel structure may be largely disintegrated by heating back to 60 °C. The freshly prepared, heated solution was allowed to equilibrate for at least 2 h at 60 °C to minimize the effect of prior sonication/MEH-PPV solution during stepwise cooling from 60 to 40 °C to unveil the aggregate properties as well as their structural development toward the gel state at 30 °C",https://doi.org/10.1021/acs.jpcb.5b00575
147,MEH-PPV,1000000.0,200000.0,5.0,,,0,0,1.0,1,0.0,,,,30,9.0,313.0,0.5,313,,600,333,,,62.5:37.5 vol% CB-nC9,0.0,,,,,,,,11152.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,randomly oriented cylinders,,number-average molecular weight 150 000−250 000 g/mol,"The sample solution was sonicated 10 h per day at 60 °C for 4 days and stored in a dark, auto dry box at room temperature. As shown in Figure 1, the MEH-PPV sample solution could be brought to the gel state via aging at 30 °C, and the gel structure may be largely disintegrated by heating back to 60 °C. The freshly prepared, heated solution was allowed to equilibrate for at least 2 h at 60 °C to minimize the effect of prior sonication/MEH-PPV solution during stepwise cooling from 60 to 40 °C to unveil the aggregate properties as well as their structural development toward the gel state at 30 °C",https://doi.org/10.1021/acs.jpcb.5b00575
148,MEH-PPV,1000000.0,200000.0,5.0,,,0,0,1.0,1,0.0,,,,30,9.0,303.0,7,303,,600,333,,,CB,0.0,,,,,,,,1444.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,randomly oriented cylinders,,number-average molecular weight 150 000−250 000 g/mol,"The sample solution was sonicated 10 h per day at 60 °C for 4 days and stored in a dark, auto dry box at room temperature. As shown in Figure 1, the MEH-PPV sample solution could be brought to the gel state via aging at 30 °C, and the gel structure may be largely disintegrated by heating back to 60 °C. The freshly prepared, heated solution was allowed to equilibrate for at least 2 h at 60 °C to minimize the effect of prior sonication/MEH-PPV solution during stepwise cooling from 60 to 40 °C to unveil the aggregate properties as well as their structural development toward the gel state at 30 °C",https://doi.org/10.1021/acs.jpcb.5b00575
149,MEH-PPV,1000000.0,200000.0,5.0,,,0,0,1.0,1,0.0,,,,120,9.0,303.0,7,303,,600,333,,,CB,0.0,,,,,,,,1480.66,1.0,8.44,0.26,111.03,0.184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,randomly oriented cylinders,,number-average molecular weight 150 000−250 000 g/mol,"The sample solution was sonicated 10 h per day at 60 °C for 4 days and stored in a dark, auto dry box at room temperature. As shown in Figure 1, the MEH-PPV sample solution could be brought to the gel state via aging at 30 °C, and the gel structure may be largely disintegrated by heating back to 60 °C. The freshly prepared, heated solution was allowed to equilibrate for at least 2 h at 60 °C to minimize the effect of prior sonication/MEH-PPV solution during stepwise cooling from 60 to 40 °C to unveil the aggregate properties as well as their structural development toward the gel state at 30 °C",https://doi.org/10.1021/acs.jpcb.5b00575
150,MEH-PPV,1000000.0,200000.0,5.0,,,0,0,1.0,1,0.0,,,,30,9.0,303.0,0.5,303,,600,333,,,CB,0.0,,,,,,,,1497.12,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,randomly oriented cylinders,,number-average molecular weight 150 000−250 000 g/mol,"The sample solution was sonicated 10 h per day at 60 °C for 4 days and stored in a dark, auto dry box at room temperature. As shown in Figure 1, the MEH-PPV sample solution could be brought to the gel state via aging at 30 °C, and the gel structure may be largely disintegrated by heating back to 60 °C. The freshly prepared, heated solution was allowed to equilibrate for at least 2 h at 60 °C to minimize the effect of prior sonication/MEH-PPV solution during stepwise cooling from 60 to 40 °C to unveil the aggregate properties as well as their structural development toward the gel state at 30 °C",https://doi.org/10.1021/acs.jpcb.5b00575
151,MEH-PPV,1000000.0,200000.0,5.0,,,0,0,1.0,1,0.0,,,,120,9.0,303.0,0.5,303,,600,333,,,CB,0.0,,,,,,,,1461.41,1.0,360.43,0.435,10.54,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTIN,randomly oriented cylinders,,number-average molecular weight 150 000−250 000 g/mol,"The sample solution was sonicated 10 h per day at 60 °C for 4 days and stored in a dark, auto dry box at room temperature. As shown in Figure 1, the MEH-PPV sample solution could be brought to the gel state via aging at 30 °C, and the gel structure may be largely disintegrated by heating back to 60 °C. The freshly prepared, heated solution was allowed to equilibrate for at least 2 h at 60 °C to minimize the effect of prior sonication/MEH-PPV solution during stepwise cooling from 60 to 40 °C to unveil the aggregate properties as well as their structural development toward the gel state at 30 °C",https://doi.org/10.1021/acs.jpcb.5b00575
