index,name,Mw (g/mol),Mn (g/mol),PDI,Dark/light,Applied Electrical Field (Kv/cm),Duration of Applied Electrical Field (min),DLS Angle (deg),Concentration (mg/ml),Temperature SANS/SLS/DLS/SEC (K),Aging time (hour),To Aging Temperature (K),Stirring /sonication/heating time(min),Sonication time (min),Sonication/Stirring/heating Temperature (K),storage temperature (K),Storage time (hour),Solvent(s),Solid additive,Doi,,index to extract,derived Rh (nm),normalized intensity (0-1),figure number
3,PFO,46000,,,,,,40,0.05,303,,,,,,,,97:3 vol% Tol-EtOH,,https://doi.org/10.1039/C5SM00074B,,3,2.562,0.071,1
4,PFO,46000,,,,,,40,0.05,303,,,,,,,,94:6 vol% Tol-EtOH,,https://doi.org/10.1039/C5SM00074B,,3,3.52,0.29,1
5,PFO,46000,,,,,,40,0.05,303,,,,,,,,89:11 vol% Tol-EtOH,,https://doi.org/10.1039/C5SM00074B,,3,4.826,0.468,1
7,PFO,46000,,,,,,40,0.05,303,,,,,,,,67:33 vol% Tol-EtOH,,https://doi.org/10.1039/C5SM00074B,,3,5.896,0.79,1
8,PFO,46000,,,,,,40,0.05,303,,,,,,,,67:33 vol% Tol-EtOH,,https://doi.org/10.1039/C5SM00074B,,3,8.571,0.759,1
10,PFO,46000,,,,,,40,0.05,313,,,,,,,,67:33 vol% Tol-EtOH,,https://doi.org/10.1039/C5SM00074B,,3,11.302,0.528,1
12,PFO,46000,,,,,,40,0.05,323,,,,,,,,67:33 vol% Tol-EtOH,,https://doi.org/10.1039/C5SM00074B,,3,15.415,0.302,1
13,PFO,46000,,,,,,40,0.05,328,,,,,,,,67:33 vol% Tol-EtOH,,https://doi.org/10.1039/C5SM00074B,,3,22.464,0.16,1
15,PFO,46000,,,,,,40,0.05,333,,,,,,,,67:33 vol% Tol-EtOH,,https://doi.org/10.1039/C5SM00074B,,3,31.449,0.304,1
17,PFO,46000,,,,,,40,0.05,338,,,,,,,,67:33 vol% Tol-EtOH,,https://doi.org/10.1039/C5SM00074B,,3,40.384,0.519,1
