index to extract,derived Rh (nm),normalized intensity (0-1),normalized intensity (0-1) corrected,intensity weighted average Rh (nm),intensity weighted average over log(Rh (nm))
17.0,"[21.433, 33.653, 51.222, 76.76, 95.44, 120.526, 129.639, 138.544, 161.979, 201.522, 265.677, 319.996, 355.886, 395.8, 438.422, 677.768, 1047.78]","[-0.01, 0.069, 0.01, 0.0, 0.089, 0.217, 0.357, 0.484, 0.76, 0.977, 0.902, 0.646, 0.441, 0.226, 0.049, 0.01, 0.0]","[0.         0.08004053 0.02026342 0.01013171 0.10030395 0.22998987
 0.37183384 0.50050659 0.78014184 1.         0.92401216 0.66464032
 0.45694022 0.23910841 0.0597771  0.02026342 0.01013171]",229.18864665554935,208.10483892415004
27.0,"[39.413, 57.222, 78.366, 106.23, 135.417, 162.334, 360.898, 1273.451, 3400.82, 4277.872, 5212.929, 5967.614, 7088.165, 7669.843, 8584.576, 9336.75]","[0.051, 0.123, 0.244, 0.199, 0.152, 0.105, 0.116, 0.151, 0.149, 0.385, 0.605, 0.807, 1.109, 0.894, 0.729, 0.597]","[0.         0.06805293 0.18241966 0.13988658 0.09546314 0.0510397
 0.06143667 0.09451796 0.0926276  0.31568998 0.52362949 0.71455577
 1.         0.79678639 0.64083176 0.51606805]",6116.597498214286,4147.505537253981
28.0,"[25.902, 41.052, 57.544, 85.77, 113.066, 202.613, 478.63, 2435.94, 3019.952, 3521.005, 3743.978, 4501.252, 5248.075, 6118.806]","[0.002, 0.024, 0.171, 0.082, 0.022, 0.022, 0.034, 0.072, 0.313, 0.569, 0.792, 1.017, 0.813, 0.466]","[0.         0.02167488 0.16650246 0.07881773 0.01970443 0.01970443
 0.03152709 0.06896552 0.30640394 0.55862069 0.77832512 1.
 0.79901478 0.45714286]",4064.7628313886985,3157.8942486791566
29.0,"[25.84, 55.394, 76.042, 117.678, 250.856, 315.476, 459.196, 632.293, 1137.261, 2423.222, 5165.159, 8675.829, 9340.688, 13769.583, 19355.161, 20869.129]","[0.037, 0.096, 0.169, 0.031, 0.013, 0.134, 0.269, 0.145, 0.025, 0.015, 0.015, 0.352, 0.596, 0.905, 0.563, 0.258]","[0.02690583 0.09304933 0.17488789 0.02017937 0.         0.13565022
 0.28699552 0.14798206 0.01345291 0.00224215 0.00224215 0.38004484
 0.65358744 1.         0.61659193 0.27466368]",10751.005061786238,5135.031298521362
30.0,"[10.287, 20.38, 40.756, 82.278, 167.667, 206.593, 210.733, 272.627, 314.016, 389.68, 525.788, 1089.44, 2039.615, 2042.064, 2561.243, 3434.329, 4210.591, 4681.989, 6567.497]","[0.056, 0.12, 0.114, 0.038, 0.08, 0.227, 0.329, 0.4, 0.341, 0.223, 0.033, 0.016, 0.033, 0.314, 0.617, 0.92, 0.643, 0.33, 0.074]","[0.04424779 0.11504425 0.10840708 0.02433628 0.07079646 0.23340708
 0.34623894 0.42477876 0.35951327 0.2289823  0.01880531 0.
 0.01880531 0.32964602 0.66482301 1.         0.69358407 0.34734513
 0.06415929]",2216.1623551259772,1097.4847525833216
31.0,"[16.923, 24.555, 34.543, 70.666, 143.879, 185.311, 287.654, 382.906, 599.691, 1227.955, 1874.415, 2032.603, 2272.258, 3012.454, 3257.064, 4550.315, 5539.561, 6099.951, 8625.955]","[0.042, 0.112, 0.037, 0.01, 0.028, 0.175, 0.224, 0.136, 0.014, 0.013, 0.066, 0.278, 0.53, 0.795, 0.705, 0.462, 0.22, 0.042, 0.0]","[0.05283019 0.1408805  0.04654088 0.01257862 0.03522013 0.22012579
 0.28176101 0.17106918 0.01761006 0.0163522  0.08301887 0.34968553
 0.66666667 1.         0.88679245 0.58113208 0.27672956 0.05283019
 0.        ]",2659.841147081512,1687.3147717574052
32.0,"[12.457, 23.728, 43.867, 56.668, 73.273, 92.995, 121.822, 185.912, 324.127, 415.219, 460.857, 480.13, 585.449, 713.87, 821.634, 1041.819, 1344.587, 1899.367, 2177.965, 2680.556, 3099.603, 3485.43, 3919.283, 4148.327]","[0.011, 0.004, 0.012, 0.182, 0.368, 0.249, 0.147, 0.031, 0.084, 0.118, 0.316, 0.483, 0.713, 0.943, 0.733, 0.599, 0.754, 0.88, 0.609, 0.491, 0.356, 0.267, 0.178, 0.103]","[0.00745474 0.         0.0085197  0.18956337 0.38764643 0.26091587
 0.15228967 0.02875399 0.08519702 0.12140575 0.33226837 0.51011715
 0.75505857 1.         0.77635783 0.63365282 0.79872204 0.93290735
 0.64430245 0.51863685 0.37486688 0.2800852  0.18530351 0.10543131]",1315.6964496777973,868.3782487004116
59.0,"[12.65, 15.23, 18.33, 19.98, 21.69, 22.24, 25.05, 29.41, 33.71, 38.53, 44.98, 50.91]","[0.04, 0.04, 0.04, 0.26, 0.61, 0.8, 0.96, 0.77, 0.36, 0.04, 0.04, 0.04]","[0.         0.         0.         0.23913043 0.61956522 0.82608696
 1.         0.79347826 0.34782609 0.         0.         0.        ]",25.273806818181818,24.978093116067676
60.0,"[18.33, 22.76, 25.72, 27.05, 29.42, 32.1, 35.32, 41.72, 46.37, 54.13, 59.4]","[1.05, 1.05, 1.1, 1.47, 1.75, 1.94, 1.85, 1.47, 1.06, 1.06, 1.06]","[0.         0.         0.05617978 0.47191011 0.78651685 1.
 0.8988764  0.47191011 0.01123596 0.01123596 0.01123596]",32.98712990936556,32.66375734918876
61.0,"[21.24, 28.04, 29.82, 31.72, 34.8, 38.17, 44.54, 47.38, 50.4, 57.02, 64.51]","[0.01, 0.01, 0.22, 0.51, 0.8, 0.88, 0.69, 0.33, 0.12, 0.01, 0.01]","[0.         0.         0.24137931 0.57471264 0.90804598 1.
 0.7816092  0.36781609 0.12643678 0.         0.        ]",38.45255747126436,38.03068908715223
