index to extract,derived Rh (nm),normalized intensity (0-1),normalized intensity (0-1) corrected,intensity weighted average Rh (nm),intensity weighted average over log(Rh (nm))
82.0,"[24.98, 34.35, 42.42, 46.56, 51.15, 56.03, 74.97, 86.21, 95.91, 101.26, 113.01, 130.07, 173.47, 212.5, 267.71]","[5.02, 5.02, 5.32, 5.54, 5.79, 5.95, 6.01, 5.84, 5.52, 5.4, 5.2, 5.06, 5.01, 5.03, 5.01]","[0.01 0.01 0.31 0.53 0.78 0.94 1.   0.83 0.51 0.39 0.19 0.05 0.   0.02
 0.  ]",71.47947935368045,68.10941787233372
83.0,"[3.297, 8.282, 18.973, 21.503, 24.406, 28.347, 33.018, 104.262, 1509.211, 5232.991, 13144.679, 13547.994, 14003.932, 15157.41, 17528.712, 20329.421, 21503.047, 22842.835, 33017.942]","[0.031, 0.031, 0.031, 0.313, 0.563, 0.313, 0.0, 0.031, 0.0, 0.0, 0.0, 0.344, 0.625, 0.906, 0.75, 0.531, 0.313, 0.0, 0.0]","[0.03421634 0.03421634 0.03421634 0.34547461 0.6214128  0.34547461
 0.         0.03421634 0.         0.         0.         0.37969095
 0.68984547 1.         0.82781457 0.58609272 0.34547461 0.
 0.        ]",12097.660815558344,2723.1240090810284
84.0,"[1.987, 4.99, 10.918, 12.303, 14.622, 16.335, 18.145, 65.785, 65.785, 434.635, 1814.471, 5737.861, 6219.422, 6760.83, 7328.245, 7954.722, 9159.568, 10638.368, 11236.343, 11867.931, 13783.992, 28798.84]","[0.031, 0.031, 0.031, 0.438, 0.688, 0.281, 0.0, 0.031, 0.031, 0.031, 0.0, 0.0, 0.25, 0.438, 0.688, 0.906, 0.844, 0.594, 0.406, 0.219, -0.031, -0.031]","[0.06616862 0.06616862 0.06616862 0.50053362 0.76734258 0.33297759
 0.03308431 0.06616862 0.06616862 0.06616862 0.03308431 0.03308431
 0.29989328 0.50053362 0.76734258 1.         0.93383138 0.66702241
 0.46638207 0.26680896 0.         0.        ]",6171.731472095151,1368.430024403413
85.0,"[4.283, 6.105, 8.701, 12.628, 13.534, 15.429, 15.95, 19.166, 19.564, 23.427, 32.595, 46.463, 66.219, 94.385, 134.525, 191.735, 273.275, 389.493, 555.135, 791.22, 1127.646, 1624.917, 2264.203, 2629.82, 3250.235, 4653.646, 6626.543, 9351.251, 10992.901, 13195.581, 15483.066, 18756.817, 22877.461, 26880.856, 32140.462, 38722.979, 45278.994, 55589.403, 76730.244]","[-0.024, -0.026, -0.028, -0.007, 0.332, 0.647, 0.833, 0.544, 0.268, -0.014, -0.033, -0.037, -0.038, -0.041, -0.043, -0.045, -0.047, -0.048, -0.05, -0.052, -0.053, -0.029, 0.154, 0.118, 0.023, -0.062, -0.047, 0.131, 0.235, 0.31, 0.371, 0.357, 0.306, 0.255, 0.154, 0.061, -0.048, -0.071, -0.076]","[0.05720572 0.0550055  0.05280528 0.07590759 0.44884488 0.79537954
 1.         0.68206821 0.37843784 0.06820682 0.04730473 0.04290429
 0.04180418 0.03850385 0.03630363 0.03410341 0.03190319 0.03080308
 0.02860286 0.02640264 0.02530253 0.05170517 0.2530253  0.21342134
 0.10891089 0.01540154 0.03190319 0.22772277 0.34213421 0.42464246
 0.49174917 0.47634763 0.42024202 0.36413641 0.2530253  0.15071507
 0.03080308 0.00550055 0.        ]",8287.734492021274,476.84762955694055
86.0,"[5.353, 7.639, 11.297, 15.641, 19.195, 21.345, 28.052, 34.914, 36.422, 40.748, 57.543, 78.275, 116.031, 175.415, 240.886, 363.375, 501.624, 734.986, 1051.39, 1478.478, 2162.984, 2987.57, 3991.269, 4819.015, 5872.322, 7304.189, 9748.201, 14676.079, 20026.988, 29169.37, 41642.98, 59256.63, 89145.799, 125710.796]","[-0.037, -0.012, -0.042, 0.004, 0.197, 0.515, 0.797, 0.678, 0.394, 0.05, -0.042, -0.059, -0.085, -0.051, -0.05, -0.058, -0.051, -0.067, -0.064, -0.047, -0.064, -0.074, -0.051, 0.262, 0.412, 0.453, 0.412, 0.304, 0.231, 0.159, 0.074, 0.046, -0.023, -0.039]","[0.05442177 0.08276644 0.04875283 0.10090703 0.31972789 0.68027211
 1.         0.86507937 0.5430839  0.15306122 0.04875283 0.02947846
 0.         0.03854875 0.03968254 0.03061224 0.03854875 0.02040816
 0.02380952 0.0430839  0.02380952 0.01247166 0.03854875 0.39342404
 0.56349206 0.60997732 0.56349206 0.44104308 0.35827664 0.27664399
 0.18027211 0.14852608 0.07029478 0.0521542 ]",8425.765792588336,522.7548573093676
87.0,"[2.663, 3.876, 5.514, 7.669, 10.543, 11.416, 13.085, 14.525, 17.936, 25.562, 37.655, 55.364, 78.459, 116.915, 165.592, 234.4, 340.678, 473.404, 689.947, 953.613, 1389.05, 1978.24, 2894.646, 4282.191, 5267.544, 5417.33, 5560.446, 6257.259, 6795.894, 7647.527, 8077.71, 8724.151, 10223.157, 14493.649, 21598.831, 30295.396, 40591.566]","[0.035, 0.04, 0.044, 0.036, 0.128, 0.295, 0.491, 0.269, 0.031, 0.031, 0.014, 0.033, 0.017, 0.026, 0.021, 0.014, 0.021, 0.012, 0.014, 0.005, -0.002, 0.01, -0.001, 0.022, 0.063, 0.43, 0.644, 0.841, 0.68, 0.544, 0.339, 0.16, 0.011, -0.012, -0.004, -0.008, -0.028]","[0.07249712 0.07825086 0.08285386 0.07364787 0.17951669 0.3716916
 0.5972382  0.34177215 0.06789413 0.06789413 0.04833142 0.07019563
 0.05178366 0.06214039 0.05638665 0.04833142 0.05638665 0.04602992
 0.04833142 0.03797468 0.02991945 0.04372842 0.0310702  0.0575374
 0.10471807 0.52704258 0.77330265 1.         0.81472957 0.65822785
 0.42232451 0.21634062 0.04487917 0.01841197 0.02761795 0.02301496
 0.        ]",4479.973848778166,913.597680578674
88.0,"[1.445, 4.571, 16.596, 19.953, 22.909, 26.303, 28.84, 28.84, 45.709, 120.226, 1148.154, 5754.399, 6309.573, 6606.934, 7244.36, 8317.638, 9549.926, 10471.285, 10964.782, 12022.644, 15135.612, 25118.864]","[0.031, 0.031, 0.0, 0.313, 0.656, 0.438, 0.188, 0.0, 0.0, 0.0, 0.0, 0.0, 0.031, 0.406, 0.656, 0.844, 0.781, 0.531, 0.281, 0.031, 0.0, 0.0]","[0.03672986 0.03672986 0.         0.37085308 0.77725118 0.51895735
 0.22274882 0.         0.         0.         0.         0.
 0.03672986 0.48104265 0.77725118 1.         0.92535545 0.62914692
 0.33293839 0.03672986 0.         0.        ]",5971.895662897663,1292.2488727530338
89.0,"[5.552, 7.912, 10.0, 10.826, 12.441, 12.578, 13.489, 15.323, 17.81, 18.314, 19.975, 24.663, 34.815, 49.615, 70.712, 99.801, 143.627, 204.695, 291.692, 415.761, 596.309, 844.24, 1203.44, 1713.49, 2432.637, 3456.88, 4954.127, 7074.316, 10084.115, 14371.45, 18596.666]","[0.003, 0.0, 0.0, 0.075, 0.344, 0.548, 0.755, 0.836, 0.668, 0.48, 0.21, -0.001, -0.01, -0.008, -0.012, -0.01, -0.016, -0.019, -0.014, -0.022, -0.02, -0.012, -0.025, 0.024, 0.231, 0.212, 0.083, -0.025, -0.037, -0.038, -0.044]","[0.05340909 0.05       0.05       0.13522727 0.44090909 0.67272727
 0.90795455 1.         0.80909091 0.59545455 0.28863636 0.04886364
 0.03863636 0.04090909 0.03636364 0.03863636 0.03181818 0.02840909
 0.03409091 0.025      0.02727273 0.03636364 0.02159091 0.07727273
 0.3125     0.29090909 0.14431818 0.02159091 0.00795455 0.00681818
 0.        ]",499.6369902173913,35.647455032855206
128.0,"[49.878, 71.991, 80.194, 102.912, 133.464, 173.055, 185.592, 197.238, 253.895, 297.746, 361.302, 442.906, 546.703, 604.808, 761.2, 873.737, 1014.639, 1298.765, 1829.147, 2209.529, 2520.571, 2685.064, 3220.542, 3469.574, 3881.803, 4135.13, 4506.98]","[0.005, 0.008, 0.015, 0.022, 0.022, 0.022, 0.018, 0.026, 0.045, 0.07, 0.089, 0.102, 0.093, 0.071, 0.045, 0.028, 0.012, 0.007, 0.007, 0.007, 0.015, 0.032, 0.052, 0.068, 0.093, 0.061, 0.025]","[0.         0.03092784 0.10309278 0.17525773 0.17525773 0.17525773
 0.13402062 0.21649485 0.41237113 0.67010309 0.86597938 1.
 0.90721649 0.68041237 0.41237113 0.2371134  0.07216495 0.02061856
 0.02061856 0.02061856 0.10309278 0.27835052 0.48453608 0.64948454
 0.90721649 0.57731959 0.20618557]",1518.549827027027,815.523739505941
129.0,"[4.647, 6.403, 7.771, 8.725, 10.261, 16.84, 28.313, 65.478, 72.687, 80.985, 82.995, 90.262, 95.335, 110.027, 119.616, 127.053, 132.089, 133.634, 144.728, 148.618, 155.128, 176.516, 242.843]","[0.005, 0.012, 0.032, 0.022, 0.009, 0.007, 0.007, 0.007, 0.049, 0.107, 0.161, 0.216, 0.248, 0.305, 0.258, 0.214, 0.178, 0.128, 0.065, 0.028, 0.009, 0.006, 0.007]","[0.         0.02333333 0.09       0.05666667 0.01333333 0.00666667
 0.00666667 0.00666667 0.14666667 0.34       0.52       0.70333333
 0.81       1.         0.84333333 0.69666667 0.57666667 0.41
 0.2        0.07666667 0.01333333 0.00333333 0.00666667]",106.75872061068702,99.98237101458804
136.0,"[2.146, 2.932, 4.004, 5.382, 7.12, 9.415, 12.258, 15.965, 21.786, 29.732, 37.541, 50.456, 67.814, 89.746, 117.074, 155.227, 199.554, 281.407, 372.333, 492.125, 650.834, 888.441, 1158.306, 1534.707, 2005.293, 2756.519, 3575.505, 4932.684, 6641.136, 7154.969, 8305.944, 9499.862, 10993.534, 11668.08, 13950.366, 19247.837, 25440.48, 34704.127, 47357.436, 58879.444]","[0.002, 0.011, 0.016, 0.019, 0.017, 0.009, 0.001, -0.003, -0.007, -0.009, -0.011, -0.01, -0.01, -0.007, 0.01, 0.036, 0.065, 0.084, 0.083, 0.069, 0.062, 0.063, 0.073, 0.09, 0.128, 0.218, 0.362, 0.499, 0.522, 0.48, 0.397, 0.324, 0.201, 0.167, 0.063, 0.001, -0.013, -0.021, -0.025, -0.026]","[0.05109489 0.06751825 0.07664234 0.08211679 0.07846715 0.06386861
 0.04927007 0.0419708  0.03467153 0.0310219  0.02737226 0.02919708
 0.02919708 0.03467153 0.06569343 0.11313869 0.16605839 0.20072993
 0.19890511 0.17335766 0.16058394 0.16240876 0.18065693 0.21167883
 0.2810219  0.44525547 0.7080292  0.9580292  1.         0.92335766
 0.77189781 0.63868613 0.41423358 0.35218978 0.16240876 0.04927007
 0.02372263 0.00912409 0.00182482 0.        ]",5372.868933199195,2423.1524740418477
137.0,"[2.248, 3.069, 3.999, 5.459, 7.223, 9.117, 12.063, 16.984, 22.474, 30.676, 43.87, 58.031, 79.227, 116.979, 159.983, 211.971, 285.122, 371.039, 490.015, 647.819, 884.223, 1152.405, 1550.464, 2027.294, 2380.337, 2751.723, 3139.6, 3646.764, 3963.734, 4306.254, 4909.263, 6520.443, 7561.441, 8646.334, 9282.929, 10129.684, 10566.87, 11371.235, 12591.3, 13763.778, 14598.13, 16490.404, 19214.351, 25422.768, 35244.074, 44516.176, 60761.114, 82972.709]","[-0.001, 0.0, 0.002, 0.003, 0.002, -0.004, -0.005, -0.007, -0.007, -0.007, -0.008, -0.012, -0.01, 0.0, 0.024, 0.041, 0.052, 0.038, 0.014, 0.003, 0.002, 0.007, 0.021, 0.068, 0.132, 0.196, 0.291, 0.416, 0.487, 0.553, 0.638, 0.686, 0.59, 0.514, 0.427, 0.349, 0.292, 0.235, 0.146, 0.09, 0.047, 0.014, -0.021, -0.022, -0.023, -0.02, -0.021, -0.016]","[0.03102962 0.03244006 0.03526093 0.03667137 0.03526093 0.02679831
 0.02538787 0.022567   0.022567   0.022567   0.02115656 0.01551481
 0.01833568 0.03244006 0.06629055 0.09026798 0.10578279 0.08603667
 0.05218618 0.03667137 0.03526093 0.04231312 0.06205924 0.12834979
 0.21861777 0.30888575 0.44287729 0.61918195 0.71932299 0.81241185
 0.93229901 1.         0.86459803 0.7574048  0.63469676 0.52468265
 0.44428773 0.36389281 0.23836389 0.15937941 0.09873061 0.05218618
 0.00282087 0.00141044 0.         0.00423131 0.00282087 0.00987306]",6307.661255753425,4183.706117613435
138.0,"[19.695, 30.792, 52.032, 78.728, 100.441, 134.137, 219.295, 444.17, 797.562, 1181.414, 1346.225, 1559.341, 1936.247, 2111.343, 2506.222, 2928.645, 3603.02, 4137.754, 4742.206, 5522.769, 7469.376, 8300.756, 9444.872, 10753.965, 11898.445, 13151.358, 15185.237, 17543.557, 19408.421, 26356.173]","[0.003, 0.01, 0.022, 0.021, 0.012, 0.001, 0.003, 0.001, 0.01, 0.05, 0.084, 0.122, 0.196, 0.238, 0.316, 0.393, 0.493, 0.56, 0.619, 0.681, 0.659, 0.584, 0.478, 0.375, 0.281, 0.182, 0.074, 0.034, 0.006, 0.001]","[0.00294118 0.01323529 0.03088235 0.02941176 0.01617647 0.
 0.00294118 0.         0.01323529 0.07205882 0.12205882 0.17794118
 0.28676471 0.34852941 0.46323529 0.57647059 0.72352941 0.82205882
 0.90882353 1.         0.96764706 0.85735294 0.70147059 0.55
 0.41176471 0.26617647 0.10735294 0.04852941 0.00735294 0.        ]",6132.914407470288,5019.906454936761
139.0,"[336.823, 623.031, 878.665, 1051.986, 1199.96, 1358.896, 1645.226, 1940.842, 2248.598, 2712.273, 3162.992, 4051.791, 5271.823, 6227.5, 6911.285, 7925.371, 8661.598, 9811.054, 11447.891, 12804.215, 14587.155, 20637.489, 26772.941]","[0.0, 0.004, 0.031, 0.079, 0.118, 0.191, 0.288, 0.406, 0.512, 0.593, 0.66, 0.669, 0.546, 0.469, 0.388, 0.316, 0.235, 0.176, 0.113, 0.066, 0.032, 0.006, 0.003]","[0.         0.00597907 0.04633782 0.1180867  0.17638266 0.28550075
 0.43049327 0.60687593 0.76532138 0.88639761 0.98654709 1.
 0.8161435  0.70104634 0.5799701  0.47234679 0.35127055 0.26307922
 0.16890882 0.09865471 0.04783259 0.00896861 0.0044843 ]",4556.960557702083,3769.217544648552
140.0,"[4.037, 5.269, 7.322, 8.979, 12.29, 16.312, 21.969, 29.198, 38.782, 68.327, 90.075, 118.811, 159.247, 210.094, 279.711, 372.678, 492.619, 654.808, 868.66, 1142.737, 1620.15, 2025.202, 2726.582, 2924.923, 3705.135, 4385.359, 4996.435, 5615.597, 6736.985, 8750.878, 10203.094, 11244.936, 12686.39, 14801.861, 19538.497, 25729.288, 44763.969]","[0.003, 0.004, 0.005, 0.009, 0.016, 0.028, 0.035, 0.032, 0.024, -0.008, -0.01, -0.007, -0.006, -0.001, 0.014, 0.037, 0.062, 0.061, 0.04, 0.016, 0.009, 0.044, 0.174, 0.233, 0.398, 0.529, 0.627, 0.655, 0.689, 0.535, 0.355, 0.272, 0.18, 0.088, 0.015, 0.002, -0.008]","[0.018598   0.02002861 0.02145923 0.02718169 0.03719599 0.05436338
 0.06437768 0.06008584 0.04864092 0.00286123 0.         0.00429185
 0.00572246 0.01287554 0.03433476 0.06723891 0.10300429 0.10157368
 0.07153076 0.03719599 0.02718169 0.07725322 0.26323319 0.34763948
 0.58369099 0.77110157 0.91130186 0.95135908 1.         0.77968526
 0.52217454 0.40343348 0.27181688 0.14020029 0.03576538 0.01716738
 0.00286123]",6059.34612063032,4037.2415091748426
141.0,"[9.32, 12.39, 16.601, 21.888, 28.86, 38.677, 50.983, 81.64, 118.957, 159.501, 212.346, 280.208, 372.351, 490.636, 500.366, 656.9, 865.427, 1142.281, 1149.22, 2023.724, 2716.356, 3262.365, 3664.421, 4261.03, 4922.597, 5725.6, 6670.173, 8852.475, 11548.633, 13164.62, 15148.557, 17209.218, 19699.504, 21867.018, 25890.322, 30986.478, 33959.239, 39053.442, 46388.569]","[0.0, 0.001, -0.002, -0.003, -0.004, -0.004, -0.008, -0.003, 0.003, 0.01, 0.025, 0.032, 0.028, 0.021, 0.055, 0.011, 0.002, 0.012, -0.01, 0.037, 0.117, 0.228, 0.285, 0.396, 0.475, 0.533, 0.587, 0.57, 0.461, 0.398, 0.324, 0.255, 0.182, 0.141, 0.066, 0.022, -0.002, -0.015, -0.016]","[0.026534   0.02819237 0.02321725 0.02155887 0.0199005  0.0199005
 0.013267   0.02155887 0.03150912 0.04311774 0.06799337 0.07960199
 0.07296849 0.06135987 0.11774461 0.04477612 0.02985075 0.04643449
 0.00995025 0.08789386 0.22056385 0.40464345 0.49917081 0.68325041
 0.81426202 0.91044776 1.         0.97180763 0.79104478 0.68656716
 0.56384743 0.44941957 0.32835821 0.26036484 0.13598673 0.06301824
 0.02321725 0.00165837 0.        ]",8739.926630270827,5872.802354698018
142.0,"[1.084, 1.312, 1.73, 2.3, 3.033, 4.0, 5.363, 7.074, 9.486, 12.514, 16.641, 22.122, 29.161, 38.428, 51.466, 67.834, 90.188, 119.973, 158.398, 212.646, 280.72, 370.256, 495.926, 653.143, 873.96, 1150.641, 1516.666, 2022.109, 2713.899, 3639.425, 4968.857, 6609.168, 8810.284, 11450.951, 14889.808, 19735.693, 25821.544, 34172.357, 45378.995, 59833.014, 80184.635]","[0.002, 0.002, 0.001, 0.001, 0.001, 0.002, 0.006, 0.01, 0.015, 0.02, 0.023, 0.022, 0.019, 0.013, 0.006, 0.001, 0.002, 0.009, 0.022, 0.039, 0.051, 0.054, 0.047, 0.035, 0.019, 0.003, -0.001, 0.029, 0.126, 0.298, 0.488, 0.576, 0.521, 0.374, 0.231, 0.118, 0.038, -0.008, -0.019, -0.019, -0.02]","[0.03691275 0.03691275 0.0352349  0.0352349  0.0352349  0.03691275
 0.04362416 0.05033557 0.05872483 0.06711409 0.07214765 0.0704698
 0.06543624 0.05536913 0.04362416 0.0352349  0.03691275 0.04865772
 0.0704698  0.09899329 0.11912752 0.12416107 0.11241611 0.09228188
 0.06543624 0.0385906  0.03187919 0.08221477 0.24496644 0.53355705
 0.85234899 1.         0.90771812 0.66107383 0.42114094 0.23154362
 0.09731544 0.02013423 0.00167785 0.00167785 0.        ]",6564.375868242393,2320.1349935876065
143.0,"[262.333, 393.435, 545.353, 829.571, 1132.655, 1587.99, 1958.328, 2180.29, 2487.951, 2718.288, 2992.815, 3075.308, 3240.392, 3587.602, 3846.651, 4858.654, 6947.763, 7992.909, 9374.365, 11419.056, 13293.443, 17936.362, 25870.078, 35166.111, 41969.226]","[-0.015, -0.017, -0.017, -0.015, -0.016, -0.002, 0.025, 0.08, 0.156, 0.221, 0.312, 0.374, 0.456, 0.529, 0.605, 0.705, 0.605, 0.505, 0.392, 0.308, 0.22, 0.107, 0.03, -0.007, -0.025]","[0.01369863 0.0109589  0.0109589  0.01369863 0.01232877 0.03150685
 0.06849315 0.14383562 0.24794521 0.3369863  0.46164384 0.54657534
 0.65890411 0.75890411 0.8630137  1.         0.8630137  0.7260274
 0.57123288 0.45616438 0.33561644 0.18082192 0.07534247 0.02465753
 0.        ]",6068.7724987787005,5037.281914579999
144.0,"[1.695, 2.652, 4.15, 5.275, 7.034, 9.38, 12.311, 16.156, 21.892, 27.826, 40.842, 50.279, 68.129, 85.223, 115.478, 156.475, 205.353, 278.256, 365.174, 486.968, 649.382, 852.228, 1421.601, 1988.892, 2610.157, 3371.148, 3831.187, 4641.589, 6189.658, 8123.108, 10660.505, 12915.497, 14445.156, 19262.924, 21544.347, 24484.367, 33176.711, 48696.753, 59948.425]","[0.002, 0.001, 0.005, 0.01, 0.014, 0.012, 0.016, 0.025, 0.037, 0.034, 0.031, 0.025, 0.015, 0.009, 0.019, 0.035, 0.051, 0.06, 0.062, 0.052, 0.038, 0.026, 0.014, 0.037, 0.099, 0.214, 0.273, 0.368, 0.496, 0.556, 0.543, 0.498, 0.45, 0.286, 0.234, 0.128, 0.036, 0.018, 0.015]","[0.0018018  0.         0.00720721 0.01621622 0.02342342 0.01981982
 0.02702703 0.04324324 0.06486486 0.05945946 0.05405405 0.04324324
 0.02522523 0.01441441 0.03243243 0.06126126 0.09009009 0.10630631
 0.10990991 0.09189189 0.06666667 0.04504505 0.02342342 0.06486486
 0.17657658 0.38378378 0.49009009 0.66126126 0.89189189 1.
 0.97657658 0.8954955  0.80900901 0.51351351 0.41981982 0.22882883
 0.06306306 0.03063063 0.02522523]",9707.653642455773,5427.711460364897
145.0,"[6.118, 8.705, 12.585, 17.121, 22.572, 30.262, 51.104, 91.535, 115.034, 163.727, 215.858, 486.342, 927.803, 2004.591, 2663.076, 3566.576, 4949.533, 5850.255, 6480.427, 8145.009, 8991.167, 12322.904, 13431.408, 15811.644, 16689.568, 17864.084, 20210.925, 21952.82, 23800.831, 25387.703, 33883.398, 44455.858, 63302.976]","[0.008, 0.005, 0.006, 0.012, 0.012, 0.022, 0.036, 0.033, 0.021, 0.021, 0.021, 0.013, 0.021, 0.039, 0.09, 0.193, 0.327, 0.416, 0.483, 0.572, 0.616, 0.67, 0.631, 0.593, 0.546, 0.489, 0.393, 0.331, 0.258, 0.178, 0.059, 0.028, 0.03]","[0.00451128 0.         0.00150376 0.01052632 0.01052632 0.02556391
 0.04661654 0.04210526 0.02406015 0.02406015 0.02406015 0.01203008
 0.02406015 0.05112782 0.12781955 0.28270677 0.48421053 0.61804511
 0.71879699 0.85263158 0.91879699 1.         0.94135338 0.88421053
 0.81353383 0.72781955 0.58345865 0.49022556 0.38045113 0.26015038
 0.08120301 0.03458647 0.03759398]",13074.563548373288,10348.701942839285
146.0,"[1.778, 2.297, 3.063, 4.084, 5.36, 6.923, 9.232, 12.509, 16.416, 21.544, 29.663, 38.312, 51.913, 68.129, 89.411, 119.231, 161.56, 212.026, 278.256, 365.174, 494.817, 649.382, 879.923, 1118.436, 1515.499, 1988.892, 2260.303, 2610.157, 3014.163, 3425.486, 4019.45, 4716.405, 6189.658, 6704.847, 7994.251, 9531.619, 11006.942, 11923.092, 14677.993, 16416.394, 19888.916, 25687.523, 32132.495]","[0.004, 0.004, 0.008, 0.013, 0.021, 0.023, 0.023, 0.025, 0.032, 0.034, 0.033, 0.028, 0.027, 0.034, 0.053, 0.061, 0.053, 0.032, 0.017, 0.011, 0.008, 0.007, 0.011, 0.013, 0.03, 0.083, 0.156, 0.226, 0.367, 0.471, 0.591, 0.708, 0.759, 0.7, 0.576, 0.429, 0.282, 0.202, 0.084, 0.053, 0.016, 0.014, 0.016]","[0.         0.         0.00529801 0.01192053 0.02251656 0.02516556
 0.02516556 0.02781457 0.03708609 0.0397351  0.0384106  0.03178808
 0.03046358 0.0397351  0.06490066 0.07549669 0.06490066 0.03708609
 0.01721854 0.00927152 0.00529801 0.00397351 0.00927152 0.01192053
 0.03443709 0.10463576 0.2013245  0.29403974 0.4807947  0.61854305
 0.77748344 0.93245033 1.         0.9218543  0.75761589 0.56291391
 0.36821192 0.26225166 0.10596026 0.06490066 0.01589404 0.01324503
 0.01589404]",5805.260758190075,3878.299336399619
147.0,"[47.893, 161.158, 567.462, 1204.298, 2038.435, 3091.873, 4092.841, 5611.414, 6637.182, 8757.556, 11781.66, 15797.046, 18353.326, 19278.655, 21593.325, 24102.271, 29356.64, 32828.203, 49512.479, 56851.083]","[0.013, 0.018, 0.018, 0.02, 0.048, 0.162, 0.289, 0.445, 0.539, 0.645, 0.677, 0.587, 0.465, 0.385, 0.324, 0.24, 0.124, 0.053, 0.03, 0.03]","[0.         0.00753012 0.00753012 0.01054217 0.05271084 0.22439759
 0.41566265 0.65060241 0.79216867 0.95180723 1.         0.86445783
 0.68072289 0.56024096 0.46837349 0.34186747 0.16716867 0.06024096
 0.02560241 0.02560241]",13200.395823990108,11032.871334733441
148.0,"[90.06, 203.122, 364.911, 488.728, 537.474, 654.558, 725.128, 844.201, 965.207, 1050.908, 1234.358, 1304.708, 1688.558, 1910.631, 2089.907, 2161.079, 2441.535, 2584.663, 3054.604, 3481.706, 3701.449, 4618.421, 6312.975]","[-0.011, -0.019, -0.011, 0.038, 0.075, 0.188, 0.266, 0.424, 0.581, 0.661, 0.769, 0.882, 0.938, 0.836, 0.742, 0.631, 0.42, 0.342, 0.185, 0.124, 0.069, 0.019, -0.016]","[0.00835946 0.         0.00835946 0.05956113 0.09822362 0.21630094
 0.29780564 0.46290491 0.62695925 0.71055381 0.82340648 0.9414838
 1.         0.89341693 0.79519331 0.67920585 0.45872518 0.37722048
 0.21316614 0.14942529 0.09195402 0.03970742 0.0031348 ]",1648.8751932322052,1499.7965136094592
149.0,"[1.212, 1.772, 2.682, 3.312, 4.019, 4.846, 6.271, 8.15, 9.622, 15.167, 18.463, 24.606, 30.352, 41.968, 54.83, 60.984, 81.347, 89.86, 114.65, 148.312, 202.339, 225.107, 260.04, 300.319, 346.838, 381.146, 560.68, 830.207, 905.992, 977.816, 1190.634, 1639.534, 2356.099, 2782.906, 3038.637, 3351.391, 3751.672, 4565.575, 5057.994, 5292.217, 6361.803, 8386.185, 10937.017, 16631.679, 26874.02, 37350.68, 51898.602, 78554.635]","[-0.004, 0.004, 0.004, 0.015, 0.03, 0.053, 0.087, 0.102, 0.101, 0.06, 0.036, 0.021, 0.011, 0.015, 0.025, 0.037, 0.052, 0.071, 0.077, 0.066, 0.061, 0.074, 0.103, 0.13, 0.157, 0.196, 0.221, 0.251, 0.283, 0.305, 0.35, 0.381, 0.34, 0.301, 0.274, 0.249, 0.203, 0.16, 0.127, 0.107, 0.075, 0.039, 0.015, 0.005, 0.009, 0.01, 0.01, 0.005]","[0.         0.02077922 0.02077922 0.04935065 0.08831169 0.14805195
 0.23636364 0.27532468 0.27272727 0.16623377 0.1038961  0.06493506
 0.03896104 0.04935065 0.07532468 0.10649351 0.14545455 0.19480519
 0.21038961 0.18181818 0.16883117 0.2025974  0.27792208 0.34805195
 0.41818182 0.51948052 0.58441558 0.66233766 0.74545455 0.8025974
 0.91948052 1.         0.89350649 0.79220779 0.72207792 0.65714286
 0.53766234 0.42597403 0.34025974 0.28831169 0.20519481 0.11168831
 0.04935065 0.02337662 0.03376623 0.03636364 0.03636364 0.02337662]",2161.3886823144107,716.7487293450326
150.0,"[234.212, 371.572, 553.643, 635.931, 702.057, 824.928, 969.303, 1077.118, 1251.1, 1581.602, 2017.194, 2219.245, 2522.739, 2682.991, 3133.199, 3437.76, 3877.923, 3977.702, 4757.354, 5901.734, 9156.268, 15562.388]","[-0.015, -0.009, 0.042, 0.125, 0.183, 0.294, 0.404, 0.5, 0.645, 0.769, 0.742, 0.681, 0.605, 0.553, 0.428, 0.352, 0.232, 0.176, 0.086, 0.003, -0.017, -0.023]","[0.01010101 0.01767677 0.08207071 0.18686869 0.26010101 0.40025253
 0.53914141 0.66035354 0.84343434 1.         0.96590909 0.88888889
 0.79292929 0.72727273 0.56944444 0.47348485 0.3219697  0.25126263
 0.13762626 0.03282828 0.00757576 0.        ]",2072.9385530156983,1820.0700230338346
